:START_ID,:END_ID,:TYPE
reference_dmkdh_OikonomakouV10,Nora Oikonomakou,WRITES
reference_dmkdh_OikonomakouV10,Michalis Vazirgiannis,WRITES
reference_dmkdh_Ben-DovF10,Moty Ben-Dov,WRITES
reference_dmkdh_Ben-DovF10,Ronen Feldman,WRITES
reference_dmkdh_WangYH10,Haixun Wang,WRITES
reference_dmkdh_WangYH10,Philip S. Yu,WRITES
reference_dmkdh_WangYH10,Jiawei Han 0001,WRITES
reference_dmkdh_Rokach10b,Lior Rokach,WRITES
reference_dmkdh_Thearling10,Kurt H. Thearling,WRITES
reference_dmkdh_MaleticM10,Jonathan I. Maletic,WRITES
reference_dmkdh_MaleticM10,Andrian Marcus,WRITES
reference_dmkdh_Singh10,Gautam B. Singh,WRITES
reference_dmkdh_Zhang10,G. Peter Zhang,WRITES
reference_dmkdh_DasA10,Swagatam Das,WRITES
reference_dmkdh_DasA10,Ajith Abraham,WRITES
reference_dmkdh_RokachM10a,Lior Rokach,WRITES
reference_dmkdh_RokachM10a,Oded Maimon,WRITES
reference_dmkdh_NematiB10,Hamid R. Nemati,WRITES
reference_dmkdh_NematiB10,Christopher D. Barko,WRITES
reference_dmkdh_CongiustaTT10,Antonio Congiusta,WRITES
reference_dmkdh_CongiustaTT10,Domenico Talia,WRITES
reference_dmkdh_CongiustaTT10,Paolo Trunfio,WRITES
reference_dmkdh_Shmilovici10,Armin Shmilovici,WRITES
reference_dmkdh_Weiss10,Gary M. Weiss,WRITES
reference_dmkdh_Rokach10a,Lior Rokach,WRITES
reference_crypt_Venkatakrishnan11,V. N. Venkatakrishnan,WRITES
reference_crypt_Krawczyk11,Hugo Krawczyk,WRITES
reference_crypt_Bosselaers05,Antoon Bosselaers,WRITES
reference_crypt_Kaliski05r,Burton S. Kaliski Jr.,WRITES
reference_crypt_Landrock05c,Peter Landrock,WRITES
reference_crypt_Bleumer11x,Gerrit Bleumer,WRITES
reference_crypt_Handschuh11b,Helena Handschuh,WRITES
reference_crypt_Preneel11l,Bart Preneel,WRITES
reference_crypt_Just05c,Mike Just,WRITES
reference_crypt_Vauclair11b,Marc Vauclair,WRITES
reference_crypt_Bauer05o,Friedrich L. Bauer,WRITES
reference_crypt_Contini11,Scott Contini,WRITES
reference_crypt_RivestK11,Ronald L. Rivest,WRITES
reference_crypt_RivestK11,Burt Kaliski,WRITES
reference_crypt_Durfee11,Glenn Durfee,WRITES
reference_crypt_Kaliski05c,Burton S. Kaliski Jr.,WRITES
reference_crypt_Preneel11,Bart Preneel,WRITES
reference_crypt_Gordon11,Daniel M. Gordon,WRITES
reference_crypt_Kirda11a,Engin Kirda,WRITES
reference_crypt_Pointcheval11,David Pointcheval,WRITES
reference_crypt_HankersonM11e,Darrel Hankerson,WRITES
reference_crypt_HankersonM11e,Alfred Menezes,WRITES
reference_crypt_Caddy11d,Tom Caddy,WRITES
reference_crypt_Cronin11,Eric Cronin,WRITES
reference_crypt_Landrock05e,Peter Landrock,WRITES
reference_crypt_Biryukov05k,Alex Biryukov,WRITES
reference_crypt_Adams11k,Carlisle Adams,WRITES
reference_crypt_StolfoBS11,Salvatore J. Stolfo,WRITES
reference_crypt_StolfoBS11,Brian M. Bowen,WRITES
reference_crypt_StolfoBS11,Malek Ben Salem,WRITES
reference_crypt_Ardagna11b,Claudio Agostino Ardagna,WRITES
reference_crypt_Gorla11,Elisa Gorla,WRITES
reference_crypt_Kaliski05p,Burton S. Kaliski Jr.,WRITES
reference_crypt_Boneh05a,Dan Boneh,WRITES
reference_crypt_Biryukov05a,Alex Biryukov,WRITES
reference_crypt_Biryukov11q,Alex Biryukov,WRITES
reference_crypt_Millen11a,Jonathan K. Millen,WRITES
reference_crypt_Paulus05,Sachar Paulus,WRITES
reference_crypt_Helleseth05d,Tor Helleseth,WRITES
reference_crypt_Bleumer05h,Gerrit Bleumer,WRITES
reference_crypt_Bleumer11m,Gerrit Bleumer,WRITES
reference_crypt_Micciancio11a,Daniele Micciancio,WRITES
reference_crypt_Biryukov11ab,Alex Biryukov,WRITES
reference_crypt_Zuccherato11c,Robert J. Zuccherato,WRITES
reference_crypt_Caddy05d,Tom Caddy,WRITES
reference_crypt_Bleumer05xa,Gerrit Bleumer,WRITES
reference_crypt_Adams11h,Carlisle Adams,WRITES
reference_crypt_Boneh05c,Dan Boneh,WRITES
reference_crypt_Videau11a,Marion Videau,WRITES
reference_crypt_Tibouchi11a,Mehdi Tibouchi,WRITES
reference_crypt_Bauer11n,Friedrich L. Bauer,WRITES
reference_crypt_DesmedtJ11a,Yvo Desmedt,WRITES
reference_crypt_DesmedtJ11a,Goce Jakimoski,WRITES
reference_crypt_CanettiV11,Ran Canetti,WRITES
reference_crypt_CanettiV11,Mayank Varia,WRITES
reference_crypt_Ardagna11a,Claudio Agostino Ardagna,WRITES
reference_crypt_Canteaut05i,Anne Canteaut,WRITES
reference_crypt_Kaliski11o,Burt Kaliski,WRITES
reference_crypt_Adams05b,Carlisle Adams,WRITES
reference_crypt_ImaiY11,Hideki Imai,WRITES
reference_crypt_ImaiY11,Atsuhiro Yamagishi,WRITES
reference_crypt_HyunN11,Sangwon Hyun,WRITES
reference_crypt_HyunN11,Peng Ning,WRITES
reference_crypt_Bleumer05w,Gerrit Bleumer,WRITES
reference_crypt_Brose05,Gerald Brose,WRITES
reference_crypt_Payne11,Bryan D. Payne,WRITES
reference_crypt_PapaC11a,Stephen M. Papa,WRITES
reference_crypt_PapaC11a,William D. Casper,WRITES
reference_crypt_Bleumer11aa,Gerrit Bleumer,WRITES
reference_crypt_RossJ05,Arun Ross,WRITES
reference_crypt_RossJ05,Anil K. Jain 0001,WRITES
reference_crypt_Just05b,Mike Just,WRITES
reference_crypt_Ioannidis11,John Ioannidis,WRITES
reference_crypt_HankersonM11,Darrel Hankerson,WRITES
reference_crypt_HankersonM11,Alfred Menezes,WRITES
reference_crypt_Desmedt05e,Yvo Desmedt,WRITES
reference_crypt_Stiglic05f,Anton Stiglic,WRITES
reference_crypt_Soete11b,Marijke De Soete,WRITES
reference_crypt_Adams05f,Carlisle Adams,WRITES
reference_crypt_CasperP11,William D. Casper,WRITES
reference_crypt_CasperP11,Stephen M. Papa,WRITES
reference_crypt_Canteaut11h,Anne Canteaut,WRITES
reference_crypt_Kuhn05,Markus Kuhn,WRITES
reference_crypt_BlakleyK11,G. R. Blakley,WRITES
reference_crypt_BlakleyK11,Gregory A. Kabatiansky,WRITES
reference_crypt_Kaliski11c,Burt Kaliski,WRITES
reference_crypt_Cheng11,Chen-Mou Cheng,WRITES
reference_crypt_Xiao11,Xiaokui Xiao,WRITES
reference_crypt_Domingo-Ferrer11,Josep Domingo-Ferrer,WRITES
reference_crypt_McFearin11,Lee D. McFearin,WRITES
reference_crypt_Brose05a,Gerald Brose,WRITES
reference_crypt_Desmedt05j,Yvo Desmedt,WRITES
reference_crypt_Bleumer05xe,Gerrit Bleumer,WRITES
reference_crypt_Bleumer05u,Gerrit Bleumer,WRITES
reference_crypt_Canteaut11e,Anne Canteaut,WRITES
reference_crypt_Contini05c,Scott Contini,WRITES
reference_crypt_Bussard11,Laurent Bussard,WRITES
reference_crypt_Landrock05k,Peter Landrock,WRITES
reference_crypt_Preneel05l,Bart Preneel,WRITES
reference_crypt_Wiener11,Michael J. Wiener,WRITES
reference_crypt_Polychronakis11,Michalis Polychronakis,WRITES
reference_crypt_Zimmermann05,Paul Zimmermann,WRITES
reference_crypt_Bleumer11ag,Gerrit Bleumer,WRITES
reference_crypt_Smith11c,Sean W. Smith,WRITES
reference_crypt_Yang11,Xiaowei Yang,WRITES
reference_crypt_Tilborg11,Henk C. A. van Tilborg,WRITES
reference_crypt_Stavrou11,Angelos Stavrou,WRITES
reference_crypt_Vimercati11a,Sabrina De Capitani di Vimercati,WRITES
reference_crypt_Kaliski11ae,Burt Kaliski,WRITES
reference_crypt_Al-Shaer11,Ehab Al-Shaer,WRITES
reference_crypt_Orso11,Alessandro Orso,WRITES
reference_crypt_Salvaneschi11,Paolo Salvaneschi,WRITES
reference_crypt_Biryukov11c,Alex Biryukov,WRITES
reference_crypt_Adams05c,Carlisle Adams,WRITES
reference_crypt_Just11c,Mike Just,WRITES
reference_crypt_Helleseth05f,Tor Helleseth,WRITES
reference_crypt_Caddy11h,Tom Caddy,WRITES
reference_crypt_Canteaut11j,Anne Canteaut,WRITES
reference_crypt_YanushkevichP11,Svetlana N. Yanushkevich,WRITES
reference_crypt_YanushkevichP11,Denis V. Popel,WRITES
reference_crypt_Helleseth11e,Tor Helleseth,WRITES
reference_crypt_Kaliski11m,Burt Kaliski,WRITES
reference_crypt_Meadows11d,Catherine A. Meadows,WRITES
reference_crypt_Desmedt05h,Yvo Desmedt,WRITES
reference_crypt_Upadhyaya11,Shambhu J. Upadhyaya,WRITES
reference_crypt_Adams11j,Carlisle Adams,WRITES
reference_crypt_BlakleyK11c,G. R. Blakley,WRITES
reference_crypt_BlakleyK11c,Gregory A. Kabatiansky,WRITES
reference_crypt_Biryukov11m,Alex Biryukov,WRITES
