name:ID,:LABEL
Stewart Tansley,author
Neil Kemp,author
Jeffrey Scott Vitter,author
Edward A. Fox,author
Doron Rotem,author
Richard T. Snodgrass,author
Nick Kline,author
Patricia Lago,author
Juan M. Ale,author
Mahesh S. Raisinghani,author
Mariano Cilia,author
Subhasish Dasgupta,author
Chris Kimble,author
Robert G. Dyson,author
Martin Farach,author
Alberto Apostolico,author
Il-Yeol Song,author
Frans Coenen,author
Cesare Rocchi,author
Wolfgang De Meuter,author
Jan Recker,author
Richard Dronskowski,author
Siddhartha Shakya,author
Arianna Bassoli,author
Hans Hagen,author
Marijn Schraagen,author
Qiong Wang,author
Miriam Reiner,author
Changtao Qu,author
Jinbo Bi,author
Reiji Suda,author
Wahiba Bahsoun,author
Roel Wieringa,author
Antoine A. J. van de Ven,author
Nicole A. Spaun,author
Manoj Singh Gaur,author
Yung-Jen Chuang,author
Ivor Nissen,author
Janis Osis,author
Kim Lauenroth,author
Hamid K. Aghajan,author
Hannes Kaufmann,author
Emilia Mendes,author
Marcello Guarini,author
Olav Lysne,author
Ben Medler,author
Earl F. Ecklund Jr.,author
Damiano Distante,author
Masao Kubo,author
Carmela Comito,author
Eugen Feller,author
Mario Kirschbaum,author
Judy Qiu,author
Kuniaki Uehara,author
Fabrizio Montesi,author
John Krumm,author
Joan Peckham,author
Martin Marinov,author
Willem Jonker,author
Derick Wood,author
Patrick D. Surry,author
Giovanni Guida,author
Tim Menzies,author
Andreas Vogelsang,author
Rummana Bari,author
Boaz Barak,author
Francesco Mambrini,author
Catia Pesquita,author
Giorgos Stamou,author
Martina Angela Sasse,author
Daniel Szepielak,author
Sam Chao,author
Klaus Lyko,author
Stefan Feldmann,author
Yoichi Sato,author
Paivi Onkamo,author
Akinori Abe,author
Myung-Kyu Yi,author
Eric S. Wheeler,author
Maciej Eder,author
Erez Shalom,author
Aldo Gangemi,author
Bin Tan,author
Jacob Fox,author
Zhenyu Yang,author
Saverio Salerno,author
Toshio Okamoto,author
Dirk Van Gucht,author
Shlomi Dolev,author
Mariano Zelke,author
Toon Calders,author
Ralf Steinmetz,author
Deborah L. McGuinness,author
Calogero G. Zarba,author
Marie Pierre Gleizes,author
Nathan Sorenson,author
Patrick D. Surry,author
Corina S. Pasareanu,author
Giovanni Ferrin,author
Sharon Shoham,author
Jeremy P. Gray,author
Mikael Lind,author
Edwin D. Mares,author
Daniel Vanderveken,author
Juan Manuel Torres,author
Shahid Rahman,author
Wendelin Feiten,author
Yuan Li,author
Christian Balkenius,author
Jamie Sutherland,author
Martin Hentschel 0002,author
Janusz Marecki,author
Paul Scerri,author
James Noble 0001,author
Carsten Lutz,author
S. Geronikolou,author
Genong Yu,author
Hamid R. Ekbia,author
Tran Trong Dao,author
Pinar Yildirim,author
Stanislaw Stanek,author
Helmer Strik,author
Judith Liebetrau,author
Jaroslaw Stepaniuk,author
Patricia Diamond Fletcher,author
Joep W. Frens,author
Jean-Marc Seigneur,author
Jon Gunderson,author
Andrea L. Kavanaugh,author
Kjell Elenius,author
Evaggelos Spyrou,author
David Leech Anderson,author
Edwin R. Hancock,author
Phillip L. De Leon,author
Fairouz Kamareddine,author
Morten Kyng,author
Robin Williams,author
Kjeld Schmidt,author
Rostyslav M. Martynyak,author
Muthukkaruppan Annamalai,author
Dayou Liu,author
Jaroslav Majernik,author
Andrzej P. Wierzbicki,author
Marek Grochowski,author
Fan Zhang,author
Farhang Sahba,author
Martine Ceberio,author
Phayung Meesad,author
Vasu Parameswaran,author
Jianyu Wang,author
Sergey Subbotin,author
Ewa Roszkowska,author
Janusz Wielki,author
David E. Goldberg,author
Ana L. C. Bazzan,author
Anthony T. S. Ho,author
Julia Handl,author
Carlos A. Coello Coello,author
Sergei V. Bezobrazov,author
Masahiro Nagamatu,author
Johann Schumann,author
Olivier Terzo,author
Matti Saarela,author
Fillia Makedon,author
Thanh Cuong Nguyen,author
Kaoru Shimada,author
Cezary Mazurek,author
Christopher J. Pal,author
Ivan Zelinka,author
Prem Kumar Kalra,author
Ukrit Watchareeruetai,author
Gustavo Olague,author
Jason Tak-Man Cheung,author
Jiang Liu 0001,author
Bac Le,author
Hung Tuan Tran,author
Thomas Bartz-Beielstein,author
Larry Birnbaum,author
F. M. Hashim,author
Silvio Savarese,author
E. V. Krishnamurthy,author
Zhigang Tian,author
Nikolaos A. Sofianos,author
Abdellah Salhi,author
T. Santiwipanont,author
Sven Schellenberg,author
Teera Kiatmanaroch,author
Hirotaka Inoue,author
Akimitsu Kanzaki,author
Krzysztof Marasek,author
Yasufumi Takama,author
Zhu Li,author
Oscar Harari,author
Giuliano Armano,author
Sean Bechhofer,author
Marius Brezovan,author
Guihua Bo,author
Juan M. Corchado,author
Aggelos Giakoumis,author
Leonardo Acho,author
Frederick E. Petry,author
Yuan-Liang Wang,author
Ravishankar K. Iyer,author
Sushil Jajodia,author
John C. Knight,author
Yi Cheng,author
Guido Knapp,author
Hans Vos,author
Michael J. Zeher,author
Antonio J. Alban,author
Gernot Tscherteu,author
El-Ghazali Talbi,author
Gianluca Lax,author
Ali Khodaei,author
Calder Coalson,author
Judith Gelernter,author
Danilo Montesi,author
Stephan Winter 0001,author
Ken Francis,author
Chun-Chieh Wang,author
Eugeniusz Budny,author
Zhiping Shi,author
Piotr Augustyniak,author
Piotr Owczarek,author
Tu Bao Ho,author
Michail Vlachos,author
Alex Biryukov,author
Aaron Estes,author
Caroline Fontaine,author
Angelos D. Keromytis,author
Jungwoo Ryoo,author
Bernard Bonnard,author
Frederick E. Daum,author
Philippe Baptiste,author
Vojislav B. Misic,author
Dinesh P. Mehta,author
Yoshiyuki Karuno,author
Stephen S. Yau,author
Chris C. N. Chu,author
Jinhui Xu 0001,author
Behrang Keshavarz,author
Abdelmounaam Rezgui,author
Chansu Yu,author
Alan Burns,author
Robin Wilton,author
Aaiman Gadafi,author
Chorng-Kuang Wang,author
Saburo Muroga,author
Saburo Muroga,author
Tatsuya Ohguro,author
Krishna Shenai,author
Sunzida Ferdous,author
Samir Elhedhli,author
Yinfeng Xu,author
Stanislav Busygin,author
Jon G. Rokne,author
Li Chen 0009,author
Josep M. Pujol,author
Nikos Manouselis,author
Bernd-Peter Paris,author
Alberto Priori,author
William Erik Sherwood,author
Warren M. Grill,author
Costas Busch,author
Xin He,author
Jin-Yi Cai,author
Raffaele Giancarlo,author
Leszek Gasieniec,author
Hannah Honghua Yang,author
Xiaotie Deng,author
Neeldhara Misra,author
Sachin S. Sapatnekar,author
Pinyan Lu,author
David Parsons,author
Yufeng Kou,author
Christopher D. Michaelis,author
Keli Xiao,author
William Gail,author
Antony Galton,author
Robert P. Laudati,author
Ilya Zaslavsky,author
Chaowei Phil Yang,author
Haipeng Wang,author
Rory A. Lewis,author
D. S. Guru,author
Werner Schafhauser,author
Arpita Ghosh,author
Neil Rubens,author
Tomaso A. Poggio,author
David Vernon,author
Leo Dorst,author
Peter Karasev,author
Michael Philippsen,author
Sally A. McKee,author
Keshav Pingali,author
Andrea Pietracaprina,author
Laurence A. Wolsey,author
Hai He,author
Qingping Lin,author
Jengchung V. Chen,author
Michelle M. Ramim,author
Effy Oz,author
Annalisa Franco,author
Mihai Marin-Perianu,author
Dietmar Jannach,author
Hari Kalva,author
Schahram Dustdar,author
Georgios Passalis,author
Qionghai Dai,author
Jingyu Yang,author
David Knoke,author
Moreno Marzolla,author
Anastasios L. Kesidis,author
Sushil Kumar Sharma,author
Robert Jordan,author
Peihua Qiu,author
Vesna Bucevska,author
Ali S. Hadi,author
Frank P. A. Coolen,author
Jon Timmis,author
Mustafa Bilgic 0001,author
Sara Bouchenak,author
Subhash Suri,author
Christian S. Jensen,author
Danilo Ardagna,author
Esther Pacitti,author
Giovanni Maria Sacco,author
Yannis Theodoridis,author
Jeffrey D. Scargle,author
Adam P. Arkin,author
Frank L. Lewis,author
Jennifer Jie Xu,author
Abraham Silberschatz,author
M. Sarath Kumar,author
Matthias Sturm,author
Oreste Villa,author
Serge Abiteboul,author
Arnon Rosenthal,author
Vivek Agrawal,author
J. P. Thompson,author
Juan de Lara,author
Abdelsalam Helal,author
Brian Henderson-Sellers,author
Martin Gogolla,author
Elaheh Pourabbas,author
Martin L. Kersten,author
Len Asprey,author
Mark A. Toleman,author
David Bryde,author
Dan S. Petty,author
Stacie C. Petter,author
Ada Scupola,author
Yannis Manolopoulos,author
Chris Verhoef,author
Gerasimos Marketos,author
Pierrette Bouillon,author
Christoph Brockel,author
Richard V. Helgason,author
Michael J. Schulte,author
Stefanie Nowak,author
Soo Ling Lim,author
Hamish A. Carr,author
Eliza Pontifex,author
Spiros Nikolopoulos,author
Neeraj Suri,author
Shaohua Kevin Zhou,author
Bernhard Weigand,author
Anna Shubina,author
Tobias Isenberg 0001,author
Vivek Walimbe,author
Enzo Pasquale Scilingo,author
Vijay Laxmi,author
Dale Vincent,author
Ita Richardson,author
Jeff Correll,author
Amal Ekbal,author
John Doucette 0001,author
Qing Gu,author
Adam P. Goucher,author
Alan Cannon,author
Dmitriy Bilyk,author
Symeon Papadopoulos,author
Meng Wang 0001,author
Hristo Ganchev,author
Joe Hoffert,author
Yves Kodratoff,author
Rajkumar Buyya,author
Daniel Panario,author
Maciej Malawski,author
Marcelina Borcz,author
Chi-Yin Chow,author
Samee U. Khan,author
Ilaria Bartolini,author
Maria Paola Bonacina,author
Michael Adams,author
Irad E. Ben-Gal,author
Sandra Steinbrecher,author
Stanley B. Zdonik,author
Rafal Mikolajczak,author
Stefano Rizzi,author
Edilson de Aguiar,author
Kazuo Sakiyama,author
Yuan Yuan,author
John R. Hershey,author
Aleksandar Milenkoski,author
Claude R. Baudoin,author
Philippe A. Palanque,author
Arnold Roosendaal,author
Michael E. Fagan,author
Takeshi Furuhashi,author
Max Ott,author
Rajeev Rastogi,author
Fadi Al Machot,author
Craig Anslow,author
Samuel Madden,author
Peter Marwedel,author
Yuzhong Han,author
Yumiko Nara,author
Virginia Smith,author
Walter Didimo,author
Emden R. Gansner,author
Eleftherios Koutsofios,author
Michael D. McNeese,author
Rashaad E. T. Jones,author
Wesley W. Chu,author
Stephan Roser,author
Jialin Zou,author
Yelena Yesha,author
Matteo Gaeta,author
Stefano A. Cerri,author
Evgenia Vassilakaki,author
Sergio Mera,author
Cheuk Yiu Ip,author
Brigitte Rozoy,author
Maria-Teresa Sagri,author
Andrew D. Back,author
